round	coefficient	std.err	class	corr
(Intercept)	-1.8575255771506134	0.07896509207082834	nnrti	independence
round18	0.2880139599985283	0.1047025946342726	nnrti	independence
(Intercept)	-1.7669655153896926	0.06784059330340478	nnrti	exchangeable
round18	0.0786532339946074	0.08321517271702933	nnrti	exchangeable
(Intercept)	-2.286309591866901	0.10295330786173425	nrti	independence
round18	0.1526785199311246	0.14101377705838955	nrti	independence
(Intercept)	-2.3956014142059128	0.13176219192556343	nrti	exchangeable
round18	0.2503699287338002	0.14711525759346664	nrti	exchangeable
(Intercept)	-4.107123119970313	0.26817552822664387	pi	independence
round18	0.24178468244696133	0.37060471883940294	pi	independence
(Intercept)	-4.077969294547969	0.24870819941158365	pi	exchangeable
round18	0.22098306818122462	0.3133489270877972	pi	exchangeable
