var	RR	LCI	UCI	P	corr	class	s	comm_type	age_cat	sex
(Intercept)	0.005952724521497268	0.0041351057674733375	0.008569292110389374	0	independence	nnrti	comm_type	Trading	NA	NA
round18	0.882039965107394	0.5248548327097459	1.482304156427379	0.6355689116091826	independence	nnrti	comm_type	Trading	NA	NA
(Intercept)	0.006025616720914615	0.00445128438982085	0.008156759642316873	0	independence	nnrti	comm_type	Agrarian	NA	NA
round18	0.7831251850592134	0.5114778882144857	1.1990450997108386	0.2606871414084776	independence	nnrti	comm_type	Agrarian	NA	NA
(Intercept)	0.01878706006762471	0.014780812099287473	0.023879176841815987	0	independence	nnrti	comm_type	Fishing	NA	NA
round18	0.9084076972891661	0.6704926504696208	1.2307436090704686	0.535266209664472	independence	nnrti	comm_type	Fishing	NA	NA
(Intercept)	0.009398278990200895	0.00701784282239343	0.012586153639093257	0	independence	nnrti	age_cat	NA	(34,49]	NA
round18	0.777057747833972	0.5154302635000864	1.1714848471808905	0.22847165016075477	independence	nnrti	age_cat	NA	(34,49]	NA
(Intercept)	0.005092859726552962	0.0035369022105014073	0.0073333156108571435	0	independence	nnrti	age_cat	NA	(14,24]	NA
round18	0.6503343789904222	0.3679224097107281	1.1495217288595778	0.13874145199990562	independence	nnrti	age_cat	NA	(14,24]	NA
(Intercept)	0.012167150174271673	0.009509860575737826	0.015566952026717124	0	independence	nnrti	age_cat	NA	(24,34]	NA
round18	1.0999833503859193	0.8063001026758763	1.5006365088020135	0.5476091169132022	independence	nnrti	age_cat	NA	(24,34]	NA
(Intercept)	0.010052748073650116	0.008128982928353831	0.012431782022790017	0	independence	nnrti	sex	NA	NA	F
round18	0.8863855610508619	0.6647244702992796	1.181962449021493	0.41142631770044935	independence	nnrti	sex	NA	NA	F
(Intercept)	0.00732278163368645	0.005578058506191187	0.009613224887322051	0	independence	nnrti	sex	NA	NA	M
round18	0.9078451849450093	0.6344960297105472	1.2989567171977812	0.5968410128590558	independence	nnrti	sex	NA	NA	M
(Intercept)	0.005045794430038875	0.0033732709169234025	0.007547582763803689	0	independence	nrti	comm_type	Trading	NA	NA
round18	0.5057883350762956	0.25702056917409943	0.9953360570373789	0.04843876352780252	independence	nrti	comm_type	Trading	NA	NA
(Intercept)	0.004279276805708872	0.0029302456579645727	0.006249377054822797	0	independence	nrti	comm_type	Agrarian	NA	NA
round18	0.6460592987967607	0.3749833050125061	1.1130965351853241	0.11550178386035392	independence	nrti	comm_type	Agrarian	NA	NA
(Intercept)	0.011440208941371948	0.008242323977500557	0.01587882021860719	0	independence	nrti	comm_type	Fishing	NA	NA
round18	0.9496850266885691	0.6403605976172688	1.4084277722151752	0.7973755992166646	independence	nrti	comm_type	Fishing	NA	NA
(Intercept)	0.007663804948817291	0.00549313792605678	0.010692232214835031	0	independence	nrti	age_cat	NA	(34,49]	NA
round18	0.5519401454000765	0.32464099694850207	0.9383840210193244	0.028176081770340256	independence	nrti	age_cat	NA	(34,49]	NA
(Intercept)	0.00185263569237733	9.926218468889198e-4	0.003457770972327308	0	independence	nrti	age_cat	NA	(14,24]	NA
round18	0.7306222890630962	0.2875682441345536	1.8562860822213334	0.5094302874463885	independence	nrti	age_cat	NA	(14,24]	NA
(Intercept)	0.009121071950541031	0.0067357329700231	0.012351135933861264	0	independence	nrti	age_cat	NA	(24,34]	NA
round18	0.9496170230635347	0.6496951242891785	1.3879933168325145	0.7895057506478166	independence	nrti	age_cat	NA	(24,34]	NA
(Intercept)	0.006983760761175725	0.005343234310961602	0.0091279759656582	0	independence	nrti	sex	NA	NA	F
round18	0.8068723985364116	0.5614187610521726	1.1596389588045855	0.24620829197307093	independence	nrti	sex	NA	NA	F
(Intercept)	0.00505572314169305	0.0035845181652636843	0.007130759367645827	0	independence	nrti	sex	NA	NA	M
round18	0.6943432445814794	0.4342186713594984	1.1102989647738697	0.127732516969442	independence	nrti	sex	NA	NA	M
(Intercept)	5.071211765768175e-4	1.585683406784796e-4	0.0016218362797534058	0	independence	pi	comm_type	Trading	NA	NA
round18	1.4478121482694972	0.3163215692975836	6.62667430909445	0.6334786872196256	independence	pi	comm_type	Trading	NA	NA
(Intercept)	6.03236163013544e-4	2.2570169443569054e-4	0.0016122779639609118	0	independence	pi	comm_type	Agrarian	NA	NA
round18	0.22243208695986577	0.024833302784828624	1.992325939808039	0.17902905760285626	independence	pi	comm_type	Agrarian	NA	NA
(Intercept)	0.0019726955323307793	9.38019553026105e-4	0.004148663693335097	0	independence	pi	comm_type	Fishing	NA	NA
round18	0.9857028053082574	0.38321050505206544	2.5354472478789676	0.976167404297534	independence	pi	comm_type	Fishing	NA	NA
(Intercept)	9.940549265396099e-4	4.093735620179369e-4	0.0024137982729191803	0	independence	pi	age_cat	NA	(34,49]	NA
round18	0.38110334457639633	0.07352185005639783	1.9754638809538063	0.25053552965499426	independence	pi	age_cat	NA	(34,49]	NA
(Intercept)	1.2470880844973683e-4	1.7568675120347585e-5	8.85228214331364e-4	0	independence	pi	age_cat	NA	(14,24]	NA
round18	6.487291623008899	0.7579410284768697	55.52536545822543	0.08782993549959783	independence	pi	age_cat	NA	(14,24]	NA
(Intercept)	0.0015504226491624986	7.730717226257946e-4	0.0031094273929349564	0	independence	pi	age_cat	NA	(24,34]	NA
round18	0.7045800317646187	0.2634493934381756	1.8843581861498206	0.4854079888771121	independence	pi	age_cat	NA	(24,34]	NA
