var	RR	LCI	UCI	P	corr	class	s	sex
(Intercept)	0.022844738901826905	0.012183812741039055	0.04283405421480047	0	exchangeable	nrti	sex	F
round16	1.142275578763749	0.3737379284910133	3.4911990418211793	0.8154791060142952	exchangeable	nrti	sex	F
round17	1.3985272417045949	0.5969892965416908	3.2762370399605203	0.43995745899078365	exchangeable	nrti	sex	F
round18	0.9707935706258511	0.32255527225137914	2.921794302695543	0.9579498251278287	exchangeable	nrti	sex	F
round19	0.6866521187628309	0.09158077986291965	5.14836336737058	0.7145656836082763	exchangeable	nrti	sex	F
(Intercept)	0.0140182845508107	0.006851359576602415	0.02868223446023663	0	exchangeable	nrti	sex	M
round16	0	0	0	0	exchangeable	nrti	sex	M
round17	0.7581164699247683	0.2681484187966368	2.1433674102962885	0.6015115136755947	exchangeable	nrti	sex	M
round18	1.3158569030492784	0.4334078342529746	3.995034820463803	0.6280831888337479	exchangeable	nrti	sex	M
round19	1.38552472895485	0.21239444807216493	9.038271913271313	0.7332660440089265	exchangeable	nrti	sex	M
