var	RR	LCI	UCI	P	corr	class	s	sex	age_cat
(Intercept)	0.42268031035448617	0.3448528602544819	0.5180720978492821	1.1102230246251565e-16	exchangeable	nnrti	sex	M	NA
round18	1.0210135861919662	0.9403788519083802	1.108562512941482	0.6202886738456608	exchangeable	nnrti	sex	M	NA
(Intercept)	0.5703205684432886	0.43099627621135805	0.7546829723186925	8.514639277357183e-5	exchangeable	nnrti	sex	F	NA
round18	1.0199259482331438	0.620015283540307	1.6777795120459336	0.9380736479817368	exchangeable	nnrti	sex	F	NA
(Intercept)	0.5749384198396816	0.46116364905776047	0.7167828324785165	8.671282865080343e-7	independence	nrti	age_cat	NA	(34,49]
round18	0.568344495869732	0.3788697439374216	0.8525765679477765	0.006318180128868756	independence	nrti	age_cat	NA	(34,49]
(Intercept)	0.5443087021848382	0.43238296108409086	0.685207304495339	2.2362470175618654e-7	independence	nrti	age_cat	NA	(24,34]
round18	0.7210126924274078	0.5245100502176707	0.9911331583173272	0.04392303757055793	independence	nrti	age_cat	NA	(24,34]
(Intercept)	0.2642705725156754	0.14577220819321077	0.4790963679798022	1.1641296153386271e-5	independence	nrti	age_cat	NA	(14,24]
round18	1.3334163833799273	0.5901258779221606	3.0129152406031725	0.48903344085015976	independence	nrti	age_cat	NA	(14,24]
