var	RR	LCI	UCI	P	corr	class	s	round
(Intercept)	0.5531238769710476	0.4810443502293828	0.6360037762206213	1.1102230246251565e-16	independence	nnrti	round	17
pre_treatmentTRUE	0.12703457593494863	0.09386364861382493	0.17192793718648755	0	independence	nnrti	round	17
(Intercept)	0.4717042754765465	0.4047969116737599	0.5496705065827631	0	independence	nnrti	round	18
pre_treatmentTRUE	0.2070449776185054	0.14994396428551104	0.2858909524055425	0	independence	nnrti	round	18
(Intercept)	0.5003529949278173	0.42612419468980545	0.587512097771119	0	independence	nrti	round	17
pre_treatmentTRUE	0.041452287815155184	0.023532266239588626	0.07301855875741192	0	independence	nrti	round	17
(Intercept)	0.3645591503477576	0.3007784936361641	0.44186461769785024	0	independence	nrti	round	18
pre_treatmentTRUE	0.052214904088084865	0.025577824220898635	0.10659218647301008	5.551115123125783e-16	independence	nrti	round	18
(Intercept)	0.03275211198000736	0.013768875597585791	0.07790765713207744	1.0547118733938987e-14	independence	pi	round	17
pre_treatmentTRUE	0.37969200238952405	0.12805082744554838	1.1258499422026045	0.08077357645772809	independence	pi	round	17
(Intercept)	0.02125421630215593	0.008054568665928904	0.05608515233468845	7.327471962526033e-15	independence	pi	round	18
pre_treatmentTRUE	0.9601586692624895	0.299138778134344	3.0818627926128825	0.9455230152159974	independence	pi	round	18
