RR	LCI	UCI	P	var	s
0.07760907749427944	0.048660532307379795	0.12377934691436995	7.212681655062269e-27	(Intercept)	sex
1.4751530325793218	0.7355128478003041	2.9585838997047498	0.27358284180029224	round16	sex
1.4277109604870892	0.8099471653173597	2.516656238800813	0.21826606587763492	round17	sex
1.0902506207549483	0.5677102279014983	2.0937555070133214	0.7952274934546105	round18	sex
2.3991359681287205	1.1782528912149661	4.885074703813146	0.01586122235893851	round19	sex
1.018500454105095	0.5327125311364697	1.9472851010267291	0.9557904348686499	s_varM	sex
0.7699598596918006	0.2558545835475246	2.3170903460734693	0.641890082298954	round16:s_varM	sex
0.6880168319141854	0.3067123735433513	1.5433585398872922	0.3643119691047426	round17:s_varM	sex
1.3887109562121003	0.5843615647175896	3.300213833939507	0.4571629299990617	round18:s_varM	sex
1.2496776119168829	0.4746164519223792	3.2904340492218953	0.6518262361834717	round19:s_varM	sex
0.06017404345446801	0.029890522725460274	0.1211392500197384	3.4714210284663496e-15	(Intercept)	age_cat
1.5697815416814935	0.548803038363133	4.4901611622882465	0.4003647325439734	round16	age_cat
1.912715204764305	0.8086585339576746	4.524133859852449	0.13982186917286654	round17	age_cat
1.5384642674204507	0.6154941959416065	3.8454827319835454	0.35671937540932885	round18	age_cat
6.76832882895411	2.8637793848893005	15.996440011604498	1.3154855353266892e-5	round19	age_cat
1.3641206047158179	0.5869798568332666	3.1701684522009446	0.47048114358263016	s_var(24,34]	age_cat
1.4072552147165946	0.5738051581849251	3.45128866671641	0.4554231048275906	s_var(34,50]	age_cat
0.5781034584257645	0.1532103874948686	2.181337793790404	0.4186187064072404	round16:s_var(24,34]	age_cat
0.4847129052211264	0.16926125854412744	1.3880707405153356	0.1773057958656883	round17:s_var(24,34]	age_cat
0.8247550370184347	0.27356057134143064	2.4865457319077486	0.7322108520446944	round18:s_var(24,34]	age_cat
0.34091309549946613	0.11122449728359136	1.0449293233189014	0.059692305893426736	round19:s_var(24,34]	age_cat
1.1591424929733343	0.2877628510482017	4.669161825865337	0.8354294532397761	round16:s_var(34,50]	age_cat
0.6515389789218452	0.21689524496224322	1.957180025446927	0.4452232831432778	round17:s_var(34,50]	age_cat
0.8644254822372985	0.262832698315753	2.842992592358135	0.8104499938428665	round18:s_var(34,50]	age_cat
0.183665447329245	0.045872160690320934	0.7353696890447405	0.016654687678308997	round19:s_var(34,50]	age_cat
0.07658672284937426	0.04590889846274085	0.12776447079354913	7.566379767389361e-23	(Intercept)	comm_type
1.4721725817434	0.6079211930327976	3.565087276567608	0.39143114887167574	round16	comm_type
1.1822639424849208	0.5949180993928275	2.3494797538123784	0.6327678075959924	round17	comm_type
1.2944844166084795	0.6251172451437306	2.6806009878305486	0.4870718006644057	round18	comm_type
3.4456296716368167	1.6760607809145867	7.08349241820787	7.667377130891787e-4	round19	comm_type
0.8325830345397286	0.37657592423711217	1.840782866848681	0.6508274466728989	s_varFishing	comm_type
1.5176990196304587	0.7437280442851597	3.0971136988671684	0.25163594033099324	s_varTrading	comm_type
0.8259930554535386	0.23055118344237233	2.959275755910438	0.7690532343519815	round16:s_varFishing	comm_type
1.2086765498794299	0.45480347054691456	3.2121544729455733	0.7039104056731671	round17:s_varFishing	comm_type
1.242808273842645	0.4416424728651756	3.497336647698875	0.6804970295819077	round18:s_varFishing	comm_type
1.0415097264249789	0.35051685074526034	3.0946943290500344	0.94164826763687	round19:s_varFishing	comm_type
0.6325467138129305	0.1844797184154671	2.1688852768868445	0.46630877430287493	round16:s_varTrading	comm_type
0.7457063531659514	0.27834779541445076	1.9977811008852462	0.5595000321432215	round17:s_varTrading	comm_type
0.7288090747816679	0.2599096096099115	2.0436438201777642	0.5476177787419967	round18:s_varTrading	comm_type
0.2318771467895781	0.05648207771437615	0.9519304774015149	0.042526435153488584	round19:s_varTrading	comm_type
0.11620123763349553	0.06838725783656074	0.19744508048306858	1.752192591684635e-15	(Intercept)	subtype
1.8331939697192186	0.7805563293627608	4.305390916961075	0.16415149259226075	round16	subtype
1.1324700562250485	0.602233132493594	2.1295547505600023	0.6994284148007903	round17	subtype
1.222934066716468	0.626798081670458	2.3860438876103336	0.5550882459683919	round18	subtype
2.4085786645719254	1.1411125993191036	5.083855166346124	0.021094013806054218	round19	subtype
0.5253669889934919	0.22716033835571056	1.21504693610679	0.13241813530368826	s_varD	subtype
0.7308566689623694	0.3124031612041645	1.709814550236536	0.46965905615671394	s_varother (recombinant)	subtype
0.4082752718539846	0.10102328089521342	1.650002812523414	0.20868932841097018	round16:s_varD	subtype
0.982304978262008	0.3637209205069104	2.652921555827832	0.9719038947533473	round17:s_varD	subtype
1.148430590586028	0.4092496347426629	3.2227098314286726	0.7926391213406437	round18:s_varD	subtype
1.184313765473544	0.3827977349748994	3.6640736528446163	0.7690913165000022	round19:s_varD	subtype
0.7227999339825623	0.19143075778189764	2.7291316746519203	0.6320207691373888	round16:s_varother (recombinant)	subtype
1.0140752405751157	0.33889694458890973	3.034399129195133	0.9800595391126502	round17:s_varother (recombinant)	subtype
0.999692704380011	0.3085459802197677	3.2390164424724928	0.9995911536376472	round18:s_varother (recombinant)	subtype
0.926759436236773	0.18867312434419808	4.552227857779221	0.9253788675466653	round19:s_varother (recombinant)	subtype
