round	s	s_var	nrti_n	nrti_y	nrti_Prev. % (95% CI)	nrti_Prev. ratio (95% CI)	nrti_p-value	nrti_spacer
..	sex	F						
15	sex	F	541	12 (2.22%)	2.28 (1.22, 4.29)	ref	ref	 
16	sex	F	213	6 (2.82%)	2.61 (1.09, 6.25)	1.14 (0.37, 3.49)	0.8200	 
17	sex	F	314	10 (3.18%)	3.19 (1.76, 5.81)	1.4 (0.6, 3.28)	0.4400	 
18	sex	F	199	4 (2.01%)	2.22 (0.93, 5.29)	0.97 (0.32, 2.92)	0.9600	 
19	sex	F	60	1 (1.67%)	1.57 (0.23, 10.66)	0.69 (0.09, 5.15)	0.7100	 
..	sex	M						
15	sex	M	456	7 (1.54%)	1.4 (0.68, 2.87)	ref	ref	 
16	sex	M	204	0 (0%)	0 (0, 0)	0 (0, 0)	<0.0001	 
17	sex	M	351	3 (0.85%)	1.06 (0.41, 2.74)	0.76 (0.27, 2.14)	0.6000	 
18	sex	M	231	4 (1.73%)	1.84 (0.76, 4.48)	1.32 (0.43, 4)	0.6300	 
19	sex	M	57	1 (1.75%)	1.94 (0.34, 11.18)	1.39 (0.21, 9.04)	0.7300	 
