s	s_var	15	16	17	18	19
		17167	17992	19336	19803	19324
ageyrs	ageyrs	28 [13]	29 [15]	29 [14]	29 [16]	29 [17]
age_cat	(14,24]	6026 (35.1%)	6401 (35.58%)	6818 (35.26%)	6974 (35.22%)	6691 (34.63%)
age_cat	(24,34]	6429 (37.45%)	6291 (34.97%)	6414 (33.17%)	6370 (32.17%)	5929 (30.68%)
age_cat	(34,49]	4712 (27.45%)	5300 (29.46%)	6104 (31.57%)	6459 (32.62%)	6704 (34.69%)
comm_type	Agrarian	7877 (45.88%)	8197 (45.56%)	8808 (45.55%)	8747 (44.17%)	8848 (45.79%)
comm_type	Fishing	3876 (22.58%)	3930 (21.84%)	4238 (21.92%)	4756 (24.02%)	4081 (21.12%)
comm_type	Trading	5414 (31.54%)	5865 (32.6%)	6290 (32.53%)	6300 (31.81%)	6395 (33.09%)
sex	F	9240 (53.82%)	9672 (53.76%)	10452 (54.05%)	10552 (53.28%)	10448 (54.07%)
sex	M	7927 (46.18%)	8320 (46.24%)	8884 (45.95%)	9251 (46.72%)	8876 (45.93%)
